sr,bd_index,daopai,score,word
1,1,1,无数据,dgjclp.com
2,0,0,较安全,dgmengmeisi.cn
2,0,0,较安全,dgkssj.com
1,2,2,不安全,bpqonline.com
2,0,0,无数据,dginoue.com
2,0,0,不安全,dgmiyuan.com
2,0,0,无数据,dddopaint.com
3,0,0,不安全,dghmtx.com
1,1,1,无数据,dgwenyuan.com
1,1,1,无数据,dijia-led.com
1,1,1,无数据,cszhlj.com
2,0,0,无数据,dgshidai.com
2,0,0,无数据,cnsycw.cn
1,23,10,无数据,dgxiede.com
1,1,1,无数据,cshwxh.com
3,0,0,无数据,diping88.com
1,2,2,较安全,dgjsgc.com.cn
1,1,1,无数据,csyongjian.com
2,0,0,无数据,cnctyg.com
1,1,1,无数据,cxtmaoyi.com
1,1,1,无数据,csmyjj.com
1,1,1,较安全,csjinh.com
1,1,1,不安全,cxytdq.com
1,1,1,无数据,dltape.com
1,1,1,无数据,dl-wl.com
3,2,2,较安全,dlyezhan.com
2,0,0,无数据,dldongyu.cn
3,0,0,无数据,dlqfs.com.cn
1,1,1,无数据,dlwzmy.com
2,0,0,无数据,bjhtgc.com
1,1,1,无数据,daomeiren.cn
2,0,0,无数据,dlgkn.com.cn
1,1,1,无数据,dlftsp.cn
1,1,1,无数据,dgnengwang.com
2,0,0,无数据,dlsie.com
2,0,0,无数据,dljieyi.com
2,1,1,无数据,dingxingxs.com
1,1,1,无数据,dfzsjpd.com
2,0,0,无数据,dodods.com
1,1,1,无数据,dlzyjx.cn
1,760,10,无数据,dldinghua.cn
2,1,1,无数据,dggodwin.com
1,4,4,无数据,dgnanyue.cn
1,1,1,无数据,dtglmy.cn
2,0,0,无数据,duanzaoqd.com
2,0,0,无数据,dlhqsljx.cn
2,0,0,无数据,dwlchem.com
2,0,0,无数据,dgtanchun.com
2,0,0,无数据,dldfjc.com
2,0,0,无数据,dgtielong.com
1,1,1,无数据,dzlgift.com.cn
2,1,1,无数据,dllcmy.com.cn
1,1,1,无数据,dlgunchiji.com
1,1,1,无数据,elitecyh.cn
1,1,1,无数据,dx-cnc.net
2,1,1,无数据,dlzdjm.cn
2,0,0,无数据,cnyongwang.com
1,1,1,无数据,djqyml.com
3,0,0,无数据,era-oem.com
2,0,0,无数据,eitvs.com
2,0,0,无数据,etunne.com
1,1,1,无数据,dycljx.com
1,1,1,无数据,dl-jewelry.cn
1,2,2,无数据,etuhsu.com
1,1,1,无数据,dglh88.com.cn
2,3,3,无数据,dl-kairui.com
2,0,0,无数据,fawsyx.cn
2,2,2,无数据,fanyico.com
3,1,1,无数据,eeree.net
1,1,1,无数据,erfu-tea.com
1,4,4,无数据,dlhotek.com.cn
1,1,1,无数据,fjrxjy.com
2,0,0,无数据,fasfx.cn
2,0,0,无数据,fshz56.com
2,1,1,无数据,dldetong.cn
1,2,2,无数据,fhjiasi.cn
2,1,1,无数据,ezhsoft.com
1,1,1,无数据,dl-shengyu.com
1,1,1,无数据,dlyindai.com
1,1,1,无数据,fengzechem.com
1,1,1,无数据,foto0769.com
2,1,1,无数据,fxbattery.com
1,1,1,无数据,fxjx365.com
2,0,0,无数据,dlchaofa.com
2,2,2,无数据,ddhskd.com
2,0,0,无数据,fstqgy.com
1,1,1,无数据,gdcmsj.cn
2,0,0,无数据,dmwh2008.com
2,0,0,无数据,gdjunhui.com
2,0,0,无数据,gdnlcc.com
2,1,1,无数据,gdtotem.com
1,1,1,无数据,fanyitrade.com
2,0,0,无数据,gdzhaoke.com
1,2,2,无数据,ginbni.com
2,0,0,无数据,gmgm168.cn
1,1,1,无数据,dlwell.cn
2,3,3,无数据,gdhuangda.com
2,45,10,无数据,goodow.com.cn
2,0,0,无数据,dfxl577.cn
2,0,0,无数据,gjkuaidi.com
1,1,1,无数据,dl-drdi.com.cn
1,1,1,无数据,guohuikeji.com
3,0,0,无数据,cinnowin.com
1,1,1,无数据,gyzyyt.cn
1,1,1,无数据,guoyu88.net
1,1,1,无数据,gz-telecom.com
2,0,0,无数据,gdhaiqi.com
1,1,1,无数据,gyzdj999.cn
2,0,0,无数据,gz-fcx.com
1,1,1,无数据,gj-haina.cn
2,0,0,无数据,gsefu.cn
2,0,0,无数据,gz-huiying.com
1,1,1,无数据,gzddxs.com
2,2,2,无数据,gzjzmyc.com
1,1,1,无数据,gyzht.com.cn
2,0,0,无数据,gzs-led.com
1,1,1,无数据,gzhccl.com
2,0,0,无数据,good-ty.com
1,1,1,无数据,gzhaiyifs.com
1,1,1,无数据,gzyhmj.cn
1,1,1,无数据,gzygwf.com
1,1,1,无数据,gzxianjia.com
2,0,0,无数据,gzrunqi.com.cn
1,1,1,无数据,guojinkeji.com
2,0,0,无数据,gzhurun.com
1,1,1,无数据,gz-xianjian.cn
1,1,1,无数据,gzsongdao.cn
1,1,1,无数据,gzwantong.com
1,1,1,无数据,gzjiaer.com.cn
1,1,1,无数据,dv-trade.com
1,2,2,无数据,gz-leadjet.com
1,1,1,无数据,flosh.com.cn
2,0,0,无数据,handdier.com
1,1,1,无数据,hangzhoubb.com
2,0,0,无数据,fsmeicai.com
2,0,0,无数据,gmhongyu.com
1,1,1,无数据,happy2008.cn
1,2,2,无数据,hanhuayan.cn
1,1,1,无数据,habile-chem.cn
1,1,1,无数据,f14189.cn
1,1,1,无数据,gzyipin.com.cn
2,0,0,无数据,gztcfzfl.cn
2,1,1,无数据,hanlinc.com
2,0,0,无数据,hahblb.com
1,1,1,无数据,dlxyjx.com
1,1,1,无数据,gzxxfrp.com
2,0,0,无数据,hbxcpa.com
2,0,0,无数据,hbxkgd.com
3,0,0,无数据,hbjczq.com
1,1,1,无数据,hctengfei.cn
1,1,1,无数据,hbsfhg.com.cn
2,1,1,无数据,hengwangfl.com
1,1,1,无数据,hensin-hk.com
2,0,0,无数据,hbxfauto.com
2,0,0,无数据,fuxin178.com
1,1,1,无数据,furunhk.com
1,1,1,无数据,hcblsb.cn
2,0,0,无数据,dlgcjd.com
2,0,0,无数据,gzshengjia.com
1,4,4,无数据,fn2003.com
1,9,9,无数据,ec-meizi.com
1,1,1,无数据,hebeisjzdh.cn
2,1,1,无数据,haixiangtai.cn
2,0,0,无数据,gdlpe.com
1,77,10,无数据,fulede.com.cn
2,0,0,无数据,hhxqyp.com
1,2,2,无数据,hiskill.com.cn
1,1,1,无数据,hgjdkj.cn
1,1,1,无数据,hhslzysp.cn
1,1,1,无数据,hk-sun.cn
2,0,0,无数据,gdweichen.com
1,4,4,无数据,heiwangzu.com
1,1,1,无数据,gyjinlong.cn
1,1,1,无数据,hhhtjf.com
1,1,1,无数据,hengtejixie.cn
1,1,1,无数据,hellotex.net
2,0,0,无数据,hklavee.com
3,0,0,无数据,hdsbjp.com
3,0,0,无数据,hnjdgold.com
2,0,0,无数据,hngcled.com
1,2,2,无数据,hngusong.com
2,0,0,无数据,hl-cd.com
2,0,0,无数据,hnguangwei.com
2,0,0,无数据,hhyut.com
1,4,4,无数据,hnroco.com
2,1,1,无数据,hncswdjd.com
1,4,4,无数据,hldkys.com
1,1,1,无数据,hnzanghe.cn
2,0,0,无数据,hnygqy.com
2,1,1,无数据,hpzhangpen.cn
3,1,1,无数据,hsecord.com
2,0,0,无数据,hpsimg.com
1,1,1,无数据,hanwhabj.cn
2,0,0,无数据,hrzgjt.com
1,1,1,无数据,fzsuzuki.com
2,0,0,无数据,hspfpc.com
1,1,1,无数据,hs-chem.com.cn
2,0,0,无数据,hs-opto.com
1,1,1,无数据,haisda.com
1,3,3,无数据,gangguannet.cn
1,2,2,无数据,gzsenren.com
2,0,0,无数据,hnzc888.com
2,0,0,无数据,hrxg518.com
2,0,0,无数据,htpva.com
2,0,0,无数据,hn-gold.com
3,0,0,无数据,hairunchem.com
2,0,0,无数据,hyj-cn.com
1,1,1,无数据,hzfeitian.cn
1,1,1,无数据,huadaxun8.cn
3,0,0,无数据,hunanruyi.com
2,1,1,无数据,htvoip.com
2,0,0,无数据,hubeikyd.com
1,1,1,无数据,hxm-motor.com
2,0,0,无数据,hzgenisi.com
3,0,0,无数据,huachen68.com
2,0,0,无数据,hy304bxg.com
2,1,1,无数据,hezehengda.com
3,0,0,无数据,huanqiujp.com
2,0,0,无数据,hw598.com
2,0,0,无数据,ghdzgs.com
1,1,1,无数据,hzyssj.com.cn
1,1,1,无数据,hzrunhong.com
2,0,0,无数据,huayuanfx.com
1,1,1,无数据,gdtyjx.com.cn
3,0,0,无数据,greenkylin.com
2,0,0,无数据,jasilong.com
1,1,1,无数据,jalixiang.com
1,1,1,无数据,hs-bar.com
2,0,0,无数据,iamyunfeng.com
1,1,1,无数据,hzyoumin.com
2,9,9,无数据,hzxy168.com
2,1,1,无数据,icann-jdzy.com
2,0,0,无数据,hljtdsy.com
2,0,0,无数据,huixinele.com
1,1,1,无数据,hzqianqi.cn
2,0,0,无数据,hnchint168.cn
1,1,1,无数据,hxbiz.com.cn
2,291,10,无数据,htyxjc.com
2,0,0,无数据,jbearing.cn
1,1,1,无数据,hidcar.cn
3,0,0,无数据,hold17.com
2,0,0,无数据,hndsmp.com
1,3,3,无数据,hdc1688.com
2,0,0,无数据,hoto-club.com
3,0,0,无数据,jfyled.com
1,760,10,无数据,huayuie.com
1,1,1,无数据,hyc2c.com
1,1,1,无数据,hanziruiyu.com
1,1,1,无数据,hongshengsl.cn
2,0,0,无数据,hxbzcy.com
2,0,0,无数据,jchengtech.com
1,1,1,无数据,jiesai.net.cn
1,1,1,无数据,jiekejiazu.com
2,1,1,无数据,jiahetool.cn
1,15,10,无数据,jiehueq.com
2,0,0,无数据,jiayin-sw.com
1,1,1,无数据,hylcpsc.cn
2,0,0,无数据,jclsx.com.cn
2,1,1,无数据,jinchengdz.com
1,2,2,无数据,jiyibaobao.com
1,2,2,无数据,jk26.cn
1,2,2,无数据,jinyumenye.cn
1,3,3,无数据,jmyzcl.com
2,0,0,无数据,jiayecn.com
1,74,10,无数据,jnhangqi.com
2,0,0,无数据,jnanst.com
2,0,0,无数据,jifenggt.com
1,1,1,无数据,jinkuang168.cn
1,1,1,无数据,jbdfhanger.com
2,0,0,无数据,jnqtcnc.com
1,1,1,无数据,jllights.com
1,1,1,无数据,hzbema2009.cn
2,0,0,无数据,jmlizhi.com
2,0,0,无数据,jn-yq.com
2,1,1,无数据,jnjywz.com
2,1,1,无数据,jnsyxjs.com
2,0,0,无数据,jntlgm.com
1,1,1,无数据,jsdinggu.com
1,1,1,无数据,jnqinglong.com
1,1,1,无数据,jsjrd.net
1,5,5,无数据,JSD0550.com
2,0,0,无数据,jskaisheng.cn
1,1,1,无数据,hncsyuli.com
1,6,6,无数据,jnyingduji.cn
1,1,1,无数据,jnyyjx.com
1,3,3,无数据,jsphar.com
1,1,1,无数据,jm-rs.com
2,0,0,无数据,jnxwxs.com
1,1,1,无数据,jnjiamu.com.cn
1,1,1,无数据,jntwds.com
2,1,1,无数据,jssunland.com
1,1,1,无数据,jq-wy.com.cn
1,1,1,无数据,jwp147.com
1,1,1,无数据,jun-da.net.cn
2,0,0,无数据,jwysoft.com
2,0,0,无数据,hnxingsha.com
1,1,1,无数据,jnmcjm.com
2,0,0,无数据,jnhuafa.com
1,149,10,无数据,jxhy090902.cn
2,0,0,无数据,jxpakj.com
2,0,0,无数据,jymekj.com
2,0,0,无数据,jyshyp.cn
1,1,1,无数据,jxyygg.com
1,1,1,无数据,jvlongjd.cn
2,0,0,无数据,jyrongxin.com
2,0,0,无数据,jxysgzs.com
1,1,1,无数据,jyylg.com.cn
2,0,0,无数据,jzqsydx.com
1,1,1,无数据,jysl999.com
2,0,0,无数据,jxtuoban.com
2,0,0,无数据,jzkxkj.com
1,1,1,无数据,jxshenheng.com
2,0,0,无数据,jzldchem.com
1,1,1,无数据,jysanhe.net
2,0,0,无数据,kaiaowuliu.com
1,1,1,无数据,jzsjyw.com
1,92,10,无数据,jmcjjx.com
2,0,0,无数据,jnghwz.com
1,6,6,无数据,hysl-dg.com
1,1,1,无数据,jyjiali.cn
1,3,3,无数据,kayocota.cn
1,1,1,无数据,km-skf.com
1,9,9,无数据,keanbus.com
1,1,1,无数据,jfmm888.com
1,4,4,无数据,kinglimn.com
2,0,0,无数据,jinyisidun.cn
2,0,0,无数据,jnakdzdq.com
3,0,0,无数据,jn778.com
2,0,0,无数据,kollion.com
2,0,0,无数据,kuletx.com
1,5,5,无数据,kaizhou-yb.cn
